freq,psd_x,psd_y,psd_z,psd_xyz
134.2,3.174e+02,7.148e+02,1.921e+03,2.954e+03
135.8,2.783e+02,3.109e+02,6.755e+02,1.265e+03
137.4,2.977e+02,3.087e+02,6.599e+02,1.266e+03
138.9,3.218e+02,3.267e+02,6.815e+02,1.330e+03
140.5,4.324e+02,4.115e+02,7.721e+02,1.616e+03
142.0,5.577e+02,5.044e+02,7.200e+02,1.782e+03
143.6,5.382e+02,4.710e+02,6.565e+02,1.666e+03
145.2,5.746e+02,3.812e+02,6.195e+02,1.575e+03
146.7,6.711e+02,3.398e+02,5.133e+02,1.524e+03
148.3,6.472e+02,3.344e+02,4.171e+02,1.399e+03
149.9,5.746e+02,3.842e+02,4.851e+02,1.444e+03
151.4,5.439e+02,4.031e+02,5.577e+02,1.505e+03
153.0,5.079e+02,4.066e+02,5.729e+02,1.487e+03
154.5,4.074e+02,4.127e+02,5.924e+02,1.412e+03
156.1,3.533e+02,4.196e+02,6.617e+02,1.435e+03
157.7,3.405e+02,4.936e+02,8.189e+02,1.653e+03
159.2,2.922e+02,5.262e+02,8.613e+02,1.680e+03
160.8,2.648e+02,4.661e+02,8.854e+02,1.616e+03
162.3,2.487e+02,4.393e+02,8.876e+02,1.576e+03
163.9,2.795e+02,4.104e+02,8.672e+02,1.557e+03
165.5,4.139e+02,4.195e+02,8.827e+02,1.716e+03
167.0,4.547e+02,4.998e+02,9.331e+02,1.888e+03
168.6,4.635e+02,5.666e+02,9.041e+02,1.934e+03
170.1,5.194e+02,6.499e+02,8.492e+02,2.019e+03
171.7,5.818e+02,7.056e+02,7.389e+02,2.026e+03
173.3,5.607e+02,6.598e+02,6.399e+02,1.860e+03
174.8,4.352e+02,5.860e+02,6.388e+02,1.660e+03
176.4,2.901e+02,5.097e+02,6.321e+02,1.432e+03
178.0,2.363e+02,3.452e+02,5.189e+02,1.100e+03
179.5,2.176e+02,2.747e+02,5.533e+02,1.046e+03
181.1,1.272e+02,3.395e+02,7.087e+02,1.175e+03
182.6,8.327e+01,3.783e+02,7.766e+02,1.238e+03
184.2,8.520e+01,3.465e+02,7.796e+02,1.211e+03
