freq,psd_x,psd_y,psd_z,psd_xyz
178.0,1.069e+03,2.443e+02,5.287e+02,1.842e+03
179.6,7.407e+02,3.293e+02,7.308e+02,1.801e+03
181.2,6.040e+02,4.381e+02,8.900e+02,1.932e+03
182.7,4.999e+02,5.617e+02,1.066e+03,2.128e+03
184.3,4.997e+02,6.716e+02,1.174e+03,2.345e+03
185.9,7.107e+02,8.161e+02,1.223e+03,2.750e+03
187.4,1.114e+03,9.636e+02,1.183e+03,3.260e+03
189.0,1.777e+03,1.224e+03,1.184e+03,4.185e+03
190.5,2.660e+03,1.491e+03,1.270e+03,5.421e+03
192.1,3.612e+03,1.686e+03,1.435e+03,6.732e+03
193.7,4.808e+03,1.885e+03,1.492e+03,8.185e+03
195.2,5.260e+03,1.997e+03,1.420e+03,8.677e+03
196.8,5.074e+03,2.104e+03,1.290e+03,8.467e+03
198.3,6.014e+03,2.619e+03,1.468e+03,1.010e+04
199.9,7.407e+03,3.365e+03,1.695e+03,1.247e+04
